id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4201201936249,2019-36249,9/10/2019 5:22:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WESLEY ST,39512,Downtown,2,49.164671,-123.940773
4201201934846,2019-34846,8/31/2019 3:23:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WESLEY ST,39512,Downtown,2,49.164671,-123.940773
4201201928307,2019-28307,7/22/2019 5:45:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WESLEY ST,39512,Downtown,2,49.164671,-123.940773
4201201920356,2019-20356,6/1/2019 3:30:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WESLEY ST,39512,Downtown,2,49.164671,-123.940773
4201201914704,2019-14704,4/25/2019 4:56:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,3XX WESLEY ST,39512,Downtown,2,49.164671,-123.940773
4201201936112,2019-36112,9/9/2019 1:58:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX DUNSMUIR ST,39520,Downtown,2,49.163227,-123.937694
4201201931284,2019-31284,8/8/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX FITZWILLIAM ST,39522,Downtown,2,49.165258,-123.942483
4201201923891,2019-23891,6/24/2019 4:39:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX FITZWILLIAM ST,39523,Downtown,2,49.165425,-123.941808
4201201914315,2019-14315,4/23/2019 2:51:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX FITZWILLIAM ST,39524,Downtown,2,49.165591,-123.94114
4201201936164,2019-36164,9/9/2019 4:34:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX WALLACE ST,39534,Downtown,2,49.164143,-123.937148
4201201931868,2019-31868,8/13/2019 9:34:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX WENTWORTH ST,39535,Downtown,2,49.16691,-123.942868
4201201913136,2019-13136,4/14/2019 7:00:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,6XX COMOX RD,39559,Downtown,2,49.17033,-123.946327
4201201939171,2019-39171,9/28/2019 12:20:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,6XX TERMINAL AVE,39570,Downtown,2,49.163785,-123.934638
4201201914069,2019-14069,4/21/2019 4:25:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,6XX TERMINAL AVE,39570,Downtown,2,49.163785,-123.934638
4201201915115,2019-15115,4/27/2019 11:52:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,FRANKLYN ST / ROBSON ST,39610,Downtown,2,49.164189,-123.939215
4201201915582,2019-15582,5/1/2019 6:58:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,X TERMINAL AVE N,39651,Downtown,2,49.170357,-123.940992
4201201934895,2019-34895,8/31/2019 11:34:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CHAPEL ST,39664,Downtown,2,49.168244,-123.937903
4201201940212,2019-40212,10/5/2019 5:30:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201936120,2019-36120,9/9/2019 8:26:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201928756,2019-28756,7/24/2019 2:32:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201928472,2019-28472,7/23/2019 4:30:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201922705,2019-22705,6/17/2019 12:58:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201922428,2019-22428,6/15/2019 4:09:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201920959,2019-20959,6/5/2019 7:40:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201915810,2019-15810,5/2/2019 1:50:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX CLIFF ST,39666,Downtown,2,49.169477,-123.939452
4201201936722,2019-36722,9/13/2019 1:41:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX COMMERCIAL ST,39668,Downtown,2,49.165345,-123.936851
4201201934613,2019-34613,8/30/2019 9:04:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX COMMERCIAL ST,39668,Downtown,2,49.165345,-123.936851
4201201931997,2019-31997,8/14/2019 1:18:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX FRONT ST,39671,Downtown,2,49.167227,-123.935998
4201201925784,2019-25784,7/6/2019 5:48:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX FRONT ST,39671,Downtown,2,49.167227,-123.935998
4201201918505,2019-18505,5/17/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX FRONT ST,39671,Downtown,2,49.167227,-123.935998
4201201935987,2019-35987,9/8/2019 3:50:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX FRONT ST,39672,Downtown,2,49.169009,-123.937177
4201201920337,2019-20337,6/1/2019 11:29:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX LOIS LANE,39677,Downtown,2,49.163889,-123.935748
4201201920305,2019-20305,6/1/2019 4:10:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX LOIS LANE,39677,Downtown,2,49.163889,-123.935748
4201201913639,2019-13639,4/17/2019 5:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX LOIS LANE,39677,Downtown,2,49.163889,-123.935748
4201201934001,2019-34001,8/26/2019 12:43:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX NICOL ST,39680,Downtown,2,49.163111,-123.933982
4201201926003,2019-26003,7/7/2019 8:39:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX PRIDEAUX ST,39685,Downtown,2,49.171425,-123.945796
4201201922246,2019-22246,6/14/2019 3:32:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX PRIDEAUX ST,39685,Downtown,2,49.171425,-123.945796
4201201938272,2019-38272,9/22/2019 10:36:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX ROBARTS ST,39686,Downtown,2,49.161488,-123.935455
4201201914070,2019-14070,4/21/2019 5:13:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX SKINNER ST,39688,Downtown,2,49.168832,-123.93869
4201201936127,2019-36127,9/7/2019 5:42:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX VICTORIA CRES,39689,Downtown,2,49.163415,-123.935463
4201201913091,2019-13091,4/13/2019 9:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,XX VICTORIA CRES,39689,Downtown,2,49.163415,-123.935463
4201201916600,2019-16600,5/7/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,28XX NORWELL DR,39743,Departure Bay,3,49.205157,-124.0015
4201201913119,2019-13119,4/14/2019 3:37:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,16XX MOREY RD,39815,Northfield,5,49.177324,-123.974629
4201201928189,2019-28189,7/21/2019 8:27:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,16XX NORTHFIELD RD,39817,Northfield,5,49.191928,-123.975018
4201201929001,2019-29001,7/26/2019 1:24:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,17XX KIDSON RD,39828,Northfield,5,49.194368,-123.978209
4201201916331,2019-16331,5/6/2019 1:28:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,18XX BOWEN RD,39835,Northfield,5,49.182886,-123.98155
4201201925121,2019-25121,6/28/2019 3:30:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,18XX BOXWOOD RD,39837,Northfield,5,49.182803,-123.985638
4201201913100,2019-13100,4/13/2019 10:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,18XX DUFFERIN CRES,39838,Northfield,5,49.183343,-123.983908
4201201932657,2019-32657,8/18/2019 8:16:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,18XX EAST WELLINGTON RD,39840,Northfield,5,49.180294,-123.981676
4201201930117,2019-30117,7/31/2019 9:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,18XX EAST WELLINGTON RD,39840,Northfield,5,49.180294,-123.981676
4201201920612,2019-20612,6/3/2019 1:09:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,18XX EAST WELLINGTON RD,39840,Northfield,5,49.180294,-123.981676
4201201927354,2019-27354,7/16/2019 2:15:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX BOWEN RD,39851,Northfield,5,49.185887,-123.984181
4201201923407,2019-23407,6/21/2019 12:46:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX BOWEN RD,39851,Northfield,5,49.185887,-123.984181
4201201918394,2019-18394,5/20/2019 8:28:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX BOWEN RD,39851,Northfield,5,49.185887,-123.984181
4201201922636,2019-22636,6/14/2019 6:00:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX BOXWOOD RD,39853,Northfield,5,49.184226,-123.986597
4201201931846,2019-31846,8/13/2019 6:54:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,19XX EAST WELLINGTON RD,39855,Northfield,5,49.180103,-123.983575
4201201924522,2019-24522,6/28/2019 3:54:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,20XX LABIEUX RD,39873,Northfield,5,49.197667,-123.987601
4201201923231,2019-23231,6/20/2019 5:22:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,20XX LABIEUX RD,39873,Northfield,5,49.197667,-123.987601
4201201913690,2019-13690,4/18/2019 3:49:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,21XX BOWEN RD,39881,Northfield,5,49.189191,-123.988675
4201201913082,2019-13082,4/14/2019 8:21:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,21XX BOWEN RD,39882,Northfield,5,49.190728,-123.990448
4201201926391,2019-26391,7/10/2019 3:55:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX BOWEN RD,39901,Northfield,5,49.194359,-123.993105
4201201923563,2019-23563,6/21/2019 7:30:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX BOWEN RD,39901,Northfield,5,49.194359,-123.993105
4201201915589,2019-15589,5/1/2019 8:29:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX BOWEN RD,39901,Northfield,5,49.194359,-123.993105
4201201931111,2019-31111,8/8/2019 7:15:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX DORMAN RD,39902,Northfield,5,49.193144,-123.985568
4201201926730,2019-26730,7/12/2019 9:03:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX DORMAN RD,39902,Northfield,5,49.193144,-123.985568
4201201923311,2019-23311,6/20/2019 2:34:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX MCGARRIGLE RD,39908,Northfield,5,49.195371,-123.983382
4201201912710,2019-12710,4/11/2019 9:45:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,22XX PETERSEN PL,39910,Northfield,5,49.192395,-123.974428
4201201918002,2019-18002,5/17/2019 4:15:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,25XX BOWEN RD,39914,Northfield,5,49.200855,-123.999848
4201201927187,2019-27187,7/15/2019 7:19:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,25XX MCCULLOUGH RD,39917,Northfield,5,49.196917,-123.982662
4201201928139,2019-28139,7/20/2019 9:53:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX MADSEN RD,39921,Northfield,5,49.178818,-123.982766
4201201926567,2019-26567,7/11/2019 7:49:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX MADSEN RD,39921,Northfield,5,49.178818,-123.982766
4201201920607,2019-20607,6/3/2019 12:38:00 PM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX MADSEN RD,39921,Northfield,5,49.178818,-123.982766
4201201919477,2019-19477,5/27/2019 10:03:00 AM,Commercial Break and Enter,2120-01,Break and Enter,1,Property Crime,1,4XX MADSEN RD,39921,Northfield,5,49.178818,-123.982766
